id,price,sale_date,cabins,decks,bathrooms,producer,created_date,refitted_date,total_area,crew_area,cabins_area,maintenance_area,crew_area_coef,total_area_coef,weight_distribution_x,weight_distribution_y,engine_thrust,radar,bow_thruster,autopilot,solar_panels,navi_quality,state,overall_quality
1,1845000.0,2122-11-28,3,1.0,1,59,2106/08,,364.6,118.0,68.0,50.0,93.0,275.0,-0.0700517975292675,0.0163262596585411,1899.6,0,1,0,0,0,4,8
2,861600.0,2122-11-28,3,1.0,3,24,2115/08,,998.3,92.5,54.5,38.0,70.5,335.8,0.1049482024707367,0.1053762596585414,1550.3,0,1,1,0,0,4,7
3,1446000.0,2122-11-28,4,2.0,2,24,2114/12,,1793.4,135.5,135.5,0.0,139.0,1811.2,0.1109482024707298,0.0925262596585412,2692.4,0,0,0,0,0,3,9
4,2250000.0,2122-11-28,3,1.0,2,51,2108/01,,327.5,119.5,72.0,47.5,100.5,327.5,-0.0820517975292608,-0.0056737403414572,1496.6,0,1,1,0,2,4,8
5,1200000.0,2122-11-28,4,1.5,2,41,2112/11,,2144.2,181.5,115.0,66.5,141.5,4007.4,0.0269482024707338,0.1491762596585424,2507.2,0,1,1,0,0,3,9
6,2355000.0,2122-11-28,5,2.0,3,35,2118/05,,599.8,183.0,183.0,0.0,166.0,562.1,0.1919482024707329,0.0131762596585396,1658.6,0,0,0,0,2,3,10
7,1379970.0,2122-11-28,3,2.0,2,28,2119/10,,277.0,134.0,134.0,0.0,149.5,301.8,0.2549482024707353,0.04197625965854,1651.0,0,1,1,0,0,3,8
8,1305000.0,2122-11-28,4,1.0,1,6,2107/11,,440.0,72.5,72.5,0.0,63.0,447.1,0.0544482024707301,-0.0072737403414571,1564.3,0,0,1,0,0,4,7
9,939000.0,2122-11-28,3,1.5,1,58,2108/02,,395.6,67.0,67.0,0.0,74.0,397.0,-0.0475517975292666,-0.1028737403414581,1758.1,0,0,0,0,0,3,7
10,1320000.0,2122-11-28,2,1.0,1,46,2105/11,,242.5,40.0,40.0,0.0,57.5,218.2,-0.0600517975292623,-0.0519237403414578,1515.9,0,0,1,0,0,4,7
11,773850.0,2122-11-28,3,1.0,1,69,2114/08,,292.9,68.5,68.5,0.0,70.0,375.0,-0.0345517975292614,0.0892762596585399,1617.6,0,1,0,0,0,3,7
12,2025000.0,2122-11-28,5,2.0,2,18,2112/11,,3375.9,141.0,141.0,0.0,141.0,2417.6,0.1094482024707298,-0.0096737403414586,2540.2,0,1,1,0,0,3,8
